building_id,year,renovation_probability
378,2031,0.1
402,2031,0.2
551,2031,0.2
643,2031,0.3
228,2032,0.2
258,2032,0.2
356,2032,0.2
386,2032,0.1
471,2032,0.3
640,2032,0.2
650,2032,0.3
692,2032,0.4
814,2032,0.1
1128,2032,0.2
38,2032,0.3
58,2032,0.3
253,2032,0.1
292,2032,0.2
367,2032,0.2
552,2032,0.4
559,2032,0.1
648,2032,0.2
701,2032,0.1
748,2032,0.2
770,2032,0.1
142,2032,0.2
179,2032,0.1
204,2032,0.1
264,2032,0.2
436,2032,0.1
475,2032,0.2
496,2032,0.3
668,2032,0.1
799,2032,0.2
800,2032,0.2
1154,2032,0.1
1522,2032,0.2
270,2032,0.2
276,2032,0.1
286,2032,0.5
288,2032,0.2
291,2032,0.1
1580,2032,0.2
48,2032,0.2
212,2032,0.3
387,2032,0.2
497,2032,0.1
2084,2032,0.2
72,2032,0.2
173,2032,0.5
255,2032,0.2
263,2032,0.2
422,2032,0.4
749,2032,0.1
152,2032,0.2
277,2032,0.4
378,2032,0.1
402,2032,0.2
551,2032,0.2
643,2032,0.3
685,2032,0.1
1207,2032,0.3
2144,2032,0.1
62,2032,0.2
228,2033,0.3
258,2033,0.3
356,2033,0.2
386,2033,0.1
471,2033,0.3
640,2033,0.2
650,2033,0.3
692,2033,0.4
814,2033,0.1
1128,2033,0.2
38,2033,0.3
58,2033,0.3
253,2033,0.1
292,2033,0.2
367,2033,0.2
552,2033,0.4
559,2033,0.1
648,2033,0.2
701,2033,0.1
748,2033,0.3
770,2033,0.1
142,2033,0.2
179,2033,0.1
204,2033,0.1
264,2033,0.2
436,2033,0.2
475,2033,0.2
496,2033,0.3
668,2033,0.1
799,2033,0.2
800,2033,0.3
1154,2033,0.1
1522,2033,0.2
270,2033,0.2
276,2033,0.1
286,2033,0.5
288,2033,0.3
291,2033,0.1
1580,2033,0.2
48,2033,0.2
212,2033,0.3
387,2033,0.2
497,2033,0.1
2084,2033,0.2
72,2033,0.2
173,2033,0.5
255,2033,0.2
263,2033,0.2
422,2033,0.4
749,2033,0.1
152,2033,0.2
277,2033,0.5
378,2033,0.1
402,2033,0.2
551,2033,0.2
643,2033,0.3
685,2033,0.1
1207,2033,0.3
2144,2033,0.1
62,2033,0.2
896,2033,0.3
594,2033,0.1
228,2034,0.3
258,2034,0.3
356,2034,0.2
386,2034,0.1
